Removal_type,Macroalgal_cover,BommieTag_Number,MacroCover2016_2022,RecruitDen
Complete,Low,5,0,5.400676738
Complete,Low,35,0,3.988623546
Complete,Low,3,0.17,2.092767168
Complete,Low,4,0.33,3.425688348
Complete,Low,11,0.33,12.658454
Complete,Low,71,0.33,1.587140707
Complete,Low,1,0.5,4.858594
Complete,Low,10,0.5,3.918865943
Complete,Low,13,0.5,3.945922385
Complete,Low,27,0.5,4.937771088
Complete,Low,8,0.67,12.2310461
Complete,Low,15,0.67,10.97607155
Complete,Low,39,0.67,4.031885404
Complete,Low,59,0.67,1.768388257
Complete,Low,63,0.67,3.819718634
Complete,Low,7,0.83,3.183098862
Complete,Low,67,1,4.583662361
Complete,Low,14,1.33,2.944246837
Complete,Low,43,1.33,6.348562827
Complete,Low,79,1.33,9.915981311
Complete,Low,2,1.5,4.108844312
Complete,Low,12,1.5,4.258009774
Complete,Low,51,1.5,5.085424217
Complete,Low,6,1.67,2.546479089
Complete,Low,31,2.33,5.30516477
Complete,Low,75,2.5,3.666929889
Complete,Low,23,2.83,8.952465549
Complete,Low,55,3.33,0.54244525
Complete,Low,47,3.67,1.762269266
Complete,Low,74,2.5,3.524538532
Complete,Low,9,7.5,3.207960556
Complete,Low,78,6.2,6.812815638
Complete,Low,42,7.2,2.750197417
Partial,Medium,77,11.88,2.750197417
Partial,Medium,21,15.25,2.210485321
Partial,Medium,45,18.38,1.762269266
Partial,Medium,73,19.38,0.785950336
Partial,Medium,62,18.7,0.658382988
Partial,Medium,22,20,1.25556858
Partial,Medium,50,21.7,1.571900673
Partial,Medium,38,21.7,3.654067571
Partial,Medium,65,27,3.978873577
Partial,Medium,70,25,2.726747389
Partial,Medium,33,30.38,1.788629954
Partial,Medium,41,31.25,3.143801345
Partial,Medium,54,32.5,4.476232774
Partial,Medium,46,32.86,2.750197417
None,High,57,37,3.440542211
None,High,34,39.2,1.674091439
None,High,26,40.8,4.384881085
None,High,61,40,4.715702018
None,High,53,41.25,0.83704572
None,High,30,45.8,1.461627028
None,High,25,45.63,1.192419969
None,High,66,42.5,0
None,High,49,50,1.316765976
None,High,69,53.13,0
None,High,58,51.7,3.440542211
None,High,37,57.5,0
None,High,29,58.88,0.935441298